step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	common_area	51.93	49.33	40.1	false	
1	ISS01	common_area	47.03	48.68	47.5	false	
1	ISS02	common_area	51.74	54.11	48.2	false	
1	ISS03	common_area	51.94	44.67	50.9	false	
1	ISS04	common_area	48.18	50.93	31.3	false	
1	ISS05	common_area	53.13	50.9	42.6	false	
1	ISS06	common_area	47.7	46.17	36.9	false	
1	ISS07	common_area	48.82	55.55	34.1	false	
1	ISS08	common_area	51.68	48.83	47.3	false	
1	ISS09	common_area	46.78	49.55	32.7	false	
2	ISS00	common_area	51.61	48.74	43.6	false	
2	ISS01	common_area	46.76	49.72	44.8	false	
2	ISS02	common_area	52.99	53.32	52.2	false	
2	ISS03	common_area	50.1	44.33	51.7	false	
2	ISS04	common_area	48.58	51.47	32.6	false	
2	ISS05	common_area	53.25	49.83	43.5	false	
2	ISS06	common_area	46.58	47.13	35.3	false	
2	ISS07	common_area	50.69	55.63	38.9	false	
2	ISS08	common_area	51.2	48.34	45.6	false	
2	ISS09	common_area	46.8	50.62	33.6	false	
3	ISS00	common_area	51.11	48.28	43.9	false	
3	ISS01	common_area	46.84	50.79	49.1	false	
3	ISS02	common_area	53.9	52.16	49.6	false	
3	ISS03	common_area	48.25	44.6	54.8	false	
3	ISS04	common_area	49.14	51.85	35.0	false	
3	ISS05	common_area	53.02	48.78	47.0	false	
3	ISS06	common_area	45.83	48.4	37.6	false	
3	ISS07	common_area	52.49	55.1	36.6	false	
3	ISS08	common_area	50.6	48.04	50.3	false	
3	ISS09	common_area	47.18	51.63	33.0	false	
4	ISS00	common_area	50.49	48.01	43.7	false	
4	ISS01	common_area	47.27	51.77	48.1	false	
4	ISS02	common_area	54.4	50.78	54.4	false	
4	ISS03	common_area	46.59	45.47	52.7	false	
4	ISS04	common_area	49.79	52.03	36.9	false	
4	ISS05	common_area	52.46	47.86	47.1	false	
4	ISS06	common_area	45.54	49.84	39.5	false	
4	ISS07	common_area	54.01	54.01	40.0	false	
4	ISS08	common_area	49.93	47.96	47.6	false	
4	ISS09	common_area	47.86	52.46	37.1	false	
5	ISS00	common_area	49.82	47.96	44.5	false	
5	ISS01	common_area	48.0	52.56	49.5	false	
5	ISS02	common_area	54.41	49.3	52.5	false	
5	ISS03	common_area	45.3	46.83	57.5	false	
5	ISS04	common_area	50.46	51.99	35.6	false	
5	ISS05	common_area	51.63	47.18	47.6	false	
5	ISS06	common_area	45.73	51.31	41.3	false	
5	ISS07	common_area	55.1	52.49	40.5	false	
5	ISS08	common_area	49.27	48.09	51.9	false	
5	ISS09	common_area	48.78	53.02	34.5	false	
6	ISS00	common_area	49.17	48.13	47.4	false	
6	ISS01	common_area	48.94	53.08	52.5	false	
6	ISS02	common_area	53.94	47.9	55.1	false	
6	ISS03	common_area	44.52	48.53	55.0	false	
6	ISS04	common_area	51.08	51.74	40.0	false	
6	ISS05	common_area	50.62	46.8	47.3	false	
6	ISS06	common_area	46.39	52.62	40.2	false	
6	ISS07	common_area	55.63	50.69	40.0	false	
6	ISS08	common_area	48.68	48.43	51.1	false	
6	ISS09	common_area	49.83	53.25	39.2	false	
7	ISS00	common_area	48.6	48.5	41.3	false	
7	ISS01	common_area	50.0	53.26	45.6	false	
7	ISS02	common_area	53.04	46.74	49.0	false	
7	ISS03	common_area	44.34	50.4	51.1	false	
7	ISS04	common_area	51.59	51.29	29.8	false	
7	ISS05	common_area	49.55	46.78	43.6	false	
7	ISS06	common_area	47.44	53.66	33.7	false	
7	ISS07	common_area	55.55	48.82	33.6	false	
7	ISS08	common_area	48.25	48.95	44.6	false	
7	ISS09	common_area	50.9	53.13	29.9	false	
8	ISS00	common_area	48.19	49.04	40.2	false	
8	ISS01	common_area	51.06	53.08	45.5	false	
8	ISS02	common_area	51.82	45.92	47.5	false	
8	ISS03	common_area	44.78	52.22	51.2	false	
8	ISS04	common_area	51.92	50.7	34.2	false	
8	ISS05	common_area	48.52	47.1	41.1	false	
8	ISS06	common_area	48.77	54.29	36.6	false	
8	ISS07	common_area	54.86	47.08	36.1	false	
8	ISS08	common_area	48.0	49.57	47.9	false	
8	ISS09	common_area	51.87	52.67	32.3	false	
9	ISS00	common_area	47.98	49.68	44.6	false	
9	ISS01	common_area	52.0	52.56	45.7	false	
9	ISS02	common_area	50.39	45.55	56.0	false	CONF01
9	ISS03	common_area	45.78	53.8	51.2	false	
9	ISS04	common_area	52.05	50.04	33.1	false	
9	ISS05	common_area	47.66	47.74	45.9	false	
9	ISS06	common_area	50.23	54.46	34.6	false	
9	ISS07	common_area	53.65	45.65	44.1	false	CONF01
9	ISS08	common_area	47.97	50.25	48.2	false	
9	ISS09	common_area	52.63	51.91	34.1	false	
10	ISS00	common_area	47.99	50.36	46.1	false	
10	ISS01	common_area	52.73	51.77	55.3	false	
10	ISS02	common_area	48.92	45.67	60.4	false	CONF01
10	ISS03	common_area	47.25	54.96	70.0	false	
10	ISS04	common_area	51.95	49.37	47.6	false	
10	ISS05	common_area	47.05	48.62	46.4	false	
10	ISS06	exercise_area	51.11	76.01	51.2	false	
10	ISS07	common_area	52.03	44.7	49.0	false	CONF01
10	ISS08	crew_quarters	25.83	34.95	54.4	false	
10	ISS09	exercise_area	52.08	73.88	44.5	false	
11	ISS00	common_area	48.21	50.99	47.8	false	
11	ISS01	common_area	53.16	50.79	53.2	false	
11	ISS02	common_area	47.57	46.26	51.6	false	REPA01
11	ISS03	common_area	49.01	55.59	64.5	false	
11	ISS04	common_area	51.63	48.77	51.1	false	
11	ISS05	common_area	46.76	49.66	59.3	false	
11	ISS06	exercise_area	51.95	75.5	42.6	false	
11	ISS07	common_area	50.2	44.33	41.0	false	REPA01
11	ISS08	crew_quarters	26.03	35.22	61.5	true	
11	ISS09	exercise_area	52.17	73.17	47.0	false	
12	ISS00	common_area	48.63	51.52	58.3	false	
12	ISS01	common_area	53.24	49.72	69.5	false	
12	ISS02	common_area	46.48	47.25	54.4	false	REPA01
12	ISS03	common_area	50.89	55.6	74.5	false	
12	ISS04	common_area	51.14	48.3	47.1	false	
12	ISS05	common_area	46.83	50.73	58.0	false	
12	ISS06	exercise_area	52.58	74.74	40.2	false	
12	ISS07	common_area	48.34	44.57	59.7	false	REPA01
12	ISS08	crew_quarters	26.3	35.42	70.9	true	
12	ISS09	exercise_area	52.03	72.47	57.6	false	
13	ISS00	common_area	49.2	51.88	59.3	false	
13	ISS01	common_area	52.97	48.68	50.9	false	
13	ISS02	common_area	45.78	48.55	72.6	false	REPA01
13	ISS03	common_area	52.66	55.01	66.5	false	CONF02
13	ISS04	common_area	50.53	48.02	44.7	false	
13	ISS05	common_area	47.24	51.72	50.2	false	
13	ISS06	common_area	54.38	50.85	56.4	false	
13	ISS07	common_area	46.67	45.41	55.3	false	REPA01
13	ISS08	crew_quarters	26.63	35.52	55.3	false	
13	ISS09	common_area	52.49	47.91	62.4	false	CONF02
14	ISS00	common_area	49.86	52.04	39.7	false	
14	ISS01	common_area	52.38	47.78	50.9	false	
