step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
1	ISS00	common_area	51.93	49.33	45.5	false	
1	ISS01	common_area	47.03	48.68	66.8	false	
1	ISS02	common_area	51.74	54.11	51.3	false	
1	ISS03	common_area	51.94	44.67	61.2	false	
1	ISS04	common_area	48.18	50.93	43.9	false	
1	ISS05	common_area	53.13	50.9	43.5	false	
1	ISS06	common_area	47.7	46.17	41.0	false	
1	ISS07	common_area	48.82	55.55	47.6	false	
1	ISS08	common_area	51.68	48.83	66.2	false	
1	ISS09	common_area	46.78	49.55	49.4	false	
2	ISS00	common_area	51.61	48.74	58.0	false	
2	ISS01	common_area	46.76	49.72	44.8	false	
2	ISS02	common_area	52.99	53.32	72.9	false	
2	ISS03	common_area	50.1	44.33	68.4	false	
2	ISS04	common_area	48.58	51.47	34.0	false	
2	ISS05	common_area	53.25	49.83	61.9	false	
2	ISS06	common_area	46.58	47.13	53.3	false	
2	ISS07	common_area	50.69	55.63	57.4	false	
2	ISS08	common_area	51.2	48.34	56.0	false	
2	ISS09	common_area	46.8	50.62	49.4	false	
3	ISS00	common_area	51.11	48.28	45.7	false	
3	ISS01	common_area	46.84	50.79	60.8	false	
3	ISS02	common_area	53.9	52.16	57.3	false	
3	ISS03	common_area	48.25	44.6	75.0	false	
3	ISS04	common_area	49.14	51.85	48.9	false	
3	ISS05	lab_module	75.76	48.98	65.4	false	
3	ISS06	common_area	45.83	48.4	40.3	false	
3	ISS07	common_area	52.49	55.1	45.2	false	
3	ISS08	common_area	50.6	48.04	55.2	false	
3	ISS09	common_area	47.18	51.63	38.4	false	
4	ISS00	common_area	50.49	48.01	64.8	false	
4	ISS01	common_area	47.27	51.77	61.2	false	
4	ISS02	common_area	54.4	50.78	72.4	false	
4	ISS03	common_area	46.59	45.47	68.0	false	
4	ISS04	common_area	49.79	52.03	53.1	false	
4	ISS05	lab_module	75.3	48.22	53.4	false	
4	ISS06	common_area	45.54	49.84	44.9	false	
4	ISS07	cupola	52.01	28.76	52.1	false	
4	ISS08	common_area	49.93	47.96	65.2	false	
4	ISS09	cupola	48.93	27.98	55.6	false	
5	ISS00	common_area	49.82	47.96	52.6	false	
5	ISS01	common_area	48.0	52.56	67.5	false	
5	ISS02	common_area	54.41	49.3	62.0	false	
5	ISS03	common_area	45.3	46.83	71.0	false	
5	ISS04	common_area	50.46	51.99	37.8	false	
5	ISS05	lab_module	74.61	47.65	63.8	false	
5	ISS06	common_area	45.73	51.31	61.5	false	
5	ISS07	cupola	52.55	27.99	53.0	false	
5	ISS08	common_area	49.27	48.09	55.5	false	
5	ISS09	cupola	49.39	28.26	40.3	false	
6	ISS00	common_area	49.17	48.13	61.7	false	
6	ISS01	common_area	48.94	53.08	67.7	false	
6	ISS02	common_area	53.94	47.9	67.6	false	
6	ISS03	common_area	44.52	48.53	72.9	false	
6	ISS04	common_area	51.08	51.74	44.0	false	
6	ISS05	lab_module	73.77	47.34	63.4	false	
6	ISS06	common_area	46.39	52.62	40.1	false	
6	ISS07	cupola	52.82	27.1	59.3	false	
6	ISS08	common_area	48.68	48.43	53.7	false	
6	ISS09	cupola	49.91	28.38	59.8	false	
7	ISS00	common_area	48.6	48.5	43.0	false	
7	ISS01	common_area	50.0	53.26	61.2	false	
7	ISS02	common_area	53.04	46.74	69.2	false	
7	ISS03	common_area	44.34	50.4	53.3	false	
7	ISS04	common_area	51.59	51.29	30.2	false	
7	ISS05	lab_module	72.87	47.31	54.8	false	
7	ISS06	common_area	47.44	53.66	37.2	false	
7	ISS07	cupola	52.77	26.16	40.2	false	
7	ISS08	common_area	48.25	48.95	52.2	false	
